Estimate,SE,tStat,pValue,Event,Security
-4.26841749898227,5.40050999981154,-0.790373038681759,0.430077430955074,CPI CHNG Index,USSV022Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV022Curncy
-19.1502823656254,28.1669748426079,-0.679884242899132,0.49892021316104,FDTR Index,USSV022Curncy
-5.89878917402289,4.3340303954053,-1.36104010259745,0.174736461044468,GDP CQOQ Index,USSV022Curncy
0,0,NaN,NaN,INJCJC Index,USSV022Curncy
-0.174696196980153,0.0465040162933363,-3.75658299872878,0.00024490717489399,NAPMPMI Index,USSV022Curncy
-0.201025256061214,0.0344553550229095,-5.83436902413433,1.70807559823668e-08,NFP TCH Index,USSV022Curncy
-1.61576817753998,7.95060537393777,-0.203225805023162,0.839288993524328,PCE CMOM Index,USSV022Curncy
-15.6183946242511,5.09659626331491,-3.06447554746913,0.00247514350263834,RSTAMOM Index,USSV022Curncy
-0.00504336804705374,0.0301838263770852,-0.167088426233546,0.867372642777193,CONSSENT Index,USSV0C5Curncy
-6.57895489527627,6.63350384523502,-0.991776751588388,0.322288933408344,CPI CHNG Index,USSV0C5Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV0C5Curncy
-66.6720915537188,54.3054556100808,-1.22772363853149,0.223846669333026,FDTR Index,USSV0C5Curncy
-1.97328415618761,5.01478590423587,-0.393493200680974,0.694293320991886,GDP CQOQ Index,USSV0C5Curncy
0,0,NaN,NaN,INJCJC Index,USSV0C5Curncy
-0.154472583135733,0.0470525139379018,-3.28298257006203,0.0012745623839337,NAPMPMI Index,USSV0C5Curncy
-0.136566902575676,0.0396086252570459,-3.44790816872349,0.000665261205516972,NFP TCH Index,USSV0C5Curncy
-13.8347610227171,9.64647733083597,-1.43417752908544,0.154018544080044,PCE CMOM Index,USSV0C5Curncy
-13.0210677208738,6.22172242306,-2.0928397050651,0.0375999022210907,RSTAMOM Index,USSV0C5Curncy
-0.0376620891050262,0.0276216076802876,-1.36350097868865,0.173380195290888,CONSSENT Index,USSV0F5Curncy
-5.68036003501019,5.18016085387653,-1.09656054999901,0.273914604235635,CPI CHNG Index,USSV0F5Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV0F5Curncy
-49.1526938741697,40.0372358950848,-1.22767450787491,0.223864999835935,FDTR Index,USSV0F5Curncy
-5.16457751399557,4.14712144973955,-1.24534031052308,0.214182035971456,GDP CQOQ Index,USSV0F5Curncy
0,0,NaN,NaN,INJCJC Index,USSV0F5Curncy
-0.156902023266181,0.0405454163901969,-3.86978448454453,0.000161244086547816,NAPMPMI Index,USSV0F5Curncy
-0.146313380550889,0.0313824343740777,-4.66226994397051,5.15143069796441e-06,NFP TCH Index,USSV0F5Curncy
-9.79041353792417,7.54165324045926,-1.29817869182858,0.196616087767906,PCE CMOM Index,USSV0F5Curncy
-16.3416492144903,4.92577779370628,-3.31757742612145,0.00107509753847192,RSTAMOM Index,USSV0F5Curncy
-0.0241192066735495,0.0338268748368165,-0.713019065163498,0.476189325333604,CONSSENT Index,USSV012Curncy
-6.48446051814698,7.28412479036872,-0.890218208057189,0.374225624561577,CPI CHNG Index,USSV012Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV012Curncy
-23.1721972598458,49.9895496701053,-0.463540828288423,0.644479137158362,FDTR Index,USSV012Curncy
-8.25690288549749,5.00863345552862,-1.64853406798682,0.100509324066271,GDP CQOQ Index,USSV012Curncy
0,0,NaN,NaN,INJCJC Index,USSV012Curncy
-0.135826840732468,0.057240111190359,-2.37293111260318,0.0188982110547933,NAPMPMI Index,USSV012Curncy
-0.261550503534534,0.0406675443960477,-6.43143094619582,6.61182655081443e-10,NFP TCH Index,USSV012Curncy
-6.98149469298265,10.1203564228832,-0.689846720931363,0.491569328152961,PCE CMOM Index,USSV012Curncy
-14.5823508304174,6.71614525188592,-2.17123815574457,0.0310672781677498,RSTAMOM Index,USSV012Curncy
-0.021969960175068,0.0245598574269277,-0.894547545336312,0.371488818560249,CONSSENT Index,USSV015Curncy
-4.51690264737445,4.57539580112808,-0.987215717219655,0.324514828972467,CPI CHNG Index,USSV015Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV015Curncy
